Generator Types
(272, 1)
(275, 1)
(276, 1)
(277, 1)
(277, 1)
(277, 1)
(277, 1)
(280, 3)
(281, 1)
(284, 1)
(285, 3)
(286, 1)
(287, 1)
(288, 2)
(289, 1)
(292, 2)
(292, 1)
(294, 2)
(297, 1)
(298, 1)
(299, 2)
(300, 1)
(301, 1)
(302, 3)
(303, 2)
(303, 1)
(306, 2)
(306, 1)
(307, 2)
(307, 1)
(307, 2)
(311, 1)
(312, 1)
(313, 1)
(316, 2)
(317, 1)
(318, 1)
(319, 1)
(320, 2)
(321, 1)
(324, 1)
(325, 2)
(326, 2)
(327, 2)
(328, 1)
(329, 3)
(330, 1)
(330, 2)
(330, 1)
(330, 1)
(334, 1)
(335, 2)
(338, 2)
(339, 2)
(340, 1)
(341, 1)
(343, 2)
(344, 2)
(345, 2)
(346, 1)
(346, 1)
(347, 1)
(347, 2)
(347, 2)
(350, 2)
(351, 1)
(351, 2)
(351, 2)
(354, 1)
(356, 1)
(356, 1)
(356, 1)
(357, 1)
(358, 1)
(358, 2)
(358, 2)
(358, 2)
(359, 1)
(359, 1)
(362, 2)
(363, 1)
(364, 1)
(365, 2)
(367, 1)
(368, 2)
(368, 1)
(369, 3)
(371, 1)
(372, 1)
(375, 2)
(378, 1)
(379, 2)
(380, 3)
(381, 2)
(382, 2)
(382, 2)
(382, 2)
(382, 1)
(384, 2)
(384, 1)
(384, 2)
(384, 2)
(386, 2)
(386, 2)
(386, 3)
(386, 2)
(386, 2)
(386, 1)
(391, 1)
(392, 1)
(393, 2)
(394, 2)
(395, 3)
(395, 3)
(396, 3)
(396, 2)
(396, 1)
(396, 2)
(398, 2)
(398, 2)
(398, 1)
(398, 1)
(398, 1)
(398, 1)
(399, 2)
(399, 1)
(401, 3)
(402, 1)
(404, 2)
(404, 2)
(404, 3)
(404, 1)
(407, 1)
(408, 2)
(409, 3)
(410, 3)
(411, 1)
(412, 1)
(413, 2)
(416, 1)
(417, 2)
(418, 1)
(419, 3)
(420, 1)
(421, 3)
(421, 2)
(424, 2)
(425, 1)
(426, 2)
(427, 1)
(428, 2)
(431, 3)
(432, 2)
(433, 2)
(434, 2)
(437, 2)
(438, 1)
(439, 2)
(440, 3)
(441, 2)
