Generator Types
(1, 2)
(2, 2)
(3, 1)
(6, 1)
(8, 1)
(9, 1)
(12, 2)
Bus Types
(1, 2)
(2, 2)
(3, 1)
(4, 1)
(5, 1)
(6, 3)
(7, 2)
(8, 2)
(9, 1)
(10, 1)
(11, 1)
(12, 3)
(13, 2)
(14, 2)
(15, 1)
(16, 1)
(17, 1)
(18, 3)
(19, 1)
(20, 2)
(21, 1)
(22, 2)
(23, 1)
(24, 1)
(25, 1)
(26, 1)
(27, 3)
(28, 1)
(29, 2)
(30, 1)
(31, 2)
(32, 1)
(33, 1)
(34, 1)
(35, 1)
(36, 3)
(37, 1)
(38, 2)
(39, 1)
(40, 2)
(41, 1)
(42, 1)
(43, 1)
(44, 1)
(45, 3)
(46, 1)
(47, 2)
(48, 2)
(49, 1)
(50, 1)
(51, 1)
(52, 1)
(53, 1)
(54, 1)
(55, 2)
(56, 1)
(57, 3)
