Generator Types
(1, 1)
(1, 1)
(1, 1)
(1, 3)
(2, 3)
(2, 1)
(2, 2)
(2, 2)
(7, 2)
(7, 1)
(7, 1)
(13, 2)
(13, 1)
(13, 1)
(14, 2)
(15, 1)
(15, 1)
(15, 1)
(15, 3)
(15, 1)
(15, 2)
(16, 2)
(18, 1)
(21, 1)
(22, 1)
(22, 1)
(22, 2)
(22, 2)
(22, 1)
(22, 1)
(23, 1)
(23, 1)
(23, 1)
Bus Types
(1, 2)
(2, 2)
(3, 1)
(4, 1)
(5, 1)
(6, 3)
(7, 2)
(8, 2)
(9, 1)
(10, 1)
(11, 1)
(12, 3)
(13, 2)
(14, 2)
(15, 1)
(16, 1)
(17, 1)
(18, 3)
(19, 1)
(20, 2)
(21, 1)
(22, 2)
(23, 1)
(24, 1)
